seed,reached_destination,end_reason,day_to_finish,miles_traveled,end_food,end_parts,end_morale,survivors,reach_rate_to_date,avg_day_to_finish_reached_to_date,avg_end_food_to_date,avg_end_parts_to_date,avg_end_morale_to_date
1,True,Oregon reached after 199 days! (20 survivors),199,2044.469105267145,429.6886949936884,32.84172606357716,60.65300871205527,20,1.0,199.0,429.6886949936884,32.84172606357716,60.65300871205527
2,True,Oregon reached after 200 days! (19 survivors),200,2051.4295026385153,167.18934544499518,36.80100347541761,82.01018251990078,19,1.0,199.5,298.4390202193418,34.821364769497386,71.33159561597802
3,True,Oregon reached after 188 days! (20 survivors),188,2048.471817707768,326.5495104485428,98.03060841350958,61.74648054772045,20,1.0,195.66666666666666,307.80918362907545,55.89111265083479,68.13655725989217
4,False,200-day limit reached. Miles covered: 1950.8,200,1950.845296425464,49.6031379658797,37.87675270038255,65.49927479099564,19,0.75,195.66666666666666,243.2576722132765,51.38752266322173,67.47723664266803
5,False,200-day limit reached. Miles covered: 2007.9,200,2007.9470786823772,241.90361998191048,92.98017562151858,45.85700788338983,20,0.6,195.66666666666666,242.9868617670033,59.7060532548811,63.15319089081239
6,False,200-day limit reached. Miles covered: 2032.7,200,2032.7058945662752,56.2057254339084,52.7372209125916,62.681162086208104,20,0.5,195.66666666666666,211.85667237815414,58.544581197832855,63.07451942337834
7,True,Oregon reached after 199 days! (20 survivors),199,2051.836609771134,11.714538245329997,63.03809827506143,85.22087187979263,20,0.5714285714285714,196.5,183.26493893060783,59.18651220886551,66.23828406000895
8,True,Oregon reached after 199 days! (20 survivors),199,2048.925001195325,67.45787790698367,42.00129468139188,34.88443718371723,20,0.625,197.0,168.7890563026548,57.0383600179313,62.31905320047249
9,True,Oregon reached after 190 days! (18 survivors),190,2056.3203467998947,223.19041443089634,20.786105558342186,22.18472824979221,18,0.6666666666666666,195.83333333333334,174.8336516502372,53.01033174464362,57.85968376150801
10,True,Oregon reached after 194 days! (20 survivors),194,2056.850871099582,304.09888086209395,60.411553418308245,47.07530945123574,20,0.7,195.57142857142858,187.76017457142285,53.75045391201009,56.78124633048078
11,True,Oregon reached after 199 days! (20 survivors),199,2052.694747276676,562.1550775009738,35.819337805453586,32.418875114052334,20,0.7272727272727273,196.0,221.7960748377457,52.120352447777684,54.56648531080546
12,False,200-day limit reached. Miles covered: 2032.8,200,2032.7799884455862,51.53073596278408,79.3061229540807,62.96748390961987,20,0.6666666666666666,196.0,207.60729659816556,54.38583332330293,55.26656852737333
